Sl No,Industry,Rs in crore,,,,,
1,Hotel / Restaurant etc. ,151.81,,,,,
2,Health Sector,84.83,,,,,
3,Construction activity (CRE),36.61,,,,,
4,Food & Beverages,81.87,,,,,
5,Engineering ,128.69,,,,,
6,Non-metallic Products ,65.53,,,,,
7,Miscellaneous Manufacturing,115.02,,,,,
8,Chemicals,25.19,,,,,
9,Others,16.73,,,,,
10,Textiles & Readymade Garments,39.38,,,,,
11,Rubber & Rubber Products,0.75,,,,,
12,Printing & Publishing,10.26,,,,,
13,Basic Metal,23.81,,,,,
14,Transport / Transport equipment,10.34,,,,,
15,Wood & Cork / Furniture & Fixtures,17.95,,,,,
16,Paper & Paper products,18.36,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
